Route ID,Route Name,Bus ID,Bus Name,Stop ID,Stop Name,Seconds after midnight,Time
48,Intercampus (I),29913,29730,157,Chicago/Davis,68345,2016-08-08 18:59:05.154553
48,Intercampus (I),29913,29730,152,Weber Arch,68546,2016-08-08 19:02:26.937664
48,Intercampus (I),29726,29726,313,Chicago/Kedzie,68557,2016-08-08 19:02:37.638577
48,Intercampus (I),29913,29730,153,Jacobs Center,68598,2016-08-08 19:03:18.453695
48,Intercampus (I),29726,29726,314,Chicago/Lee,68619,2016-08-08 19:03:39.133509
48,Intercampus (I),29913,29730,154,Tech Institute,68680,2016-08-08 19:04:40.070410
48,Intercampus (I),29913,29730,155,Patten Gym,68741,2016-08-08 19:05:41.001424
48,Intercampus (I),29726,29726,157,Chicago/Davis,68801,2016-08-08 19:06:41.991540
48,Intercampus (I),29726,29726,152,Weber Arch,68963,2016-08-08 19:09:23.531960
48,Intercampus (I),29913,29730,282,Central L Station (westbound),68984,2016-08-08 19:09:44.266063
48,Intercampus (I),29726,29726,153,Jacobs Center,69015,2016-08-08 19:10:15.015974
48,Intercampus (I),29913,29730,252,Central/Jackson (westbound),69045,2016-08-08 19:10:45.738900
48,Intercampus (I),29726,29726,154,Tech Institute,69096,2016-08-08 19:11:36.623781
48,Intercampus (I),29913,29730,253,Ryan Field,69107,2016-08-08 19:11:47.255029
48,Intercampus (I),29726,29726,155,Patten Gym,69228,2016-08-08 19:13:48.522520
48,Intercampus (I),29913,29730,226,Central/Jackson (eastbound),69289,2016-08-08 19:14:49.428755
48,Intercampus (I),29727,29727,242,Ward Building,69310,2016-08-08 19:15:10.124890
48,Intercampus (I),29913,29730,300,Central L Station (eastbound),69350,2016-08-08 19:15:50.936021
48,Intercampus (I),29726,29726,282,Central L Station (westbound),69411,2016-08-08 19:16:51.855658
48,Intercampus (I),29726,29726,252,Central/Jackson (westbound),69462,2016-08-08 19:17:42.730997
48,Intercampus (I),29913,29730,307,Noyes L Station,69503,2016-08-08 19:18:23.538409
48,Intercampus (I),29913,29730,306,Ridge/Civic Center,69574,2016-08-08 19:19:34.533720
48,Intercampus (I),29913,29730,305,Ridge/Reserve Apartments,69635,2016-08-08 19:20:35.518875
48,Intercampus (I),29913,29730,294,Emerson/Maple,69746,2016-08-08 19:22:26.740947
48,Intercampus (I),29913,29730,183,Sherman/Emerson,69827,2016-08-08 19:23:47.818193
48,Intercampus (I),29913,29730,309,Sherman/Foster,69858,2016-08-08 19:24:18.555478
48,Intercampus (I),29913,29730,316,Sherman/Gaffield,69929,2016-08-08 19:25:29.523458
48,Intercampus (I),29913,29730,161,Sheridan/Noyes,70020,2016-08-08 19:27:00.645648
48,Intercampus (I),29913,29730,160,Sheridan/Foster,70182,2016-08-08 19:29:42.263938
48,Intercampus (I),29913,29730,159,Chicago/Sheridan,70283,2016-08-08 19:31:23.450504
48,Intercampus (I),29913,29730,308,Chicago/Grove,70434,2016-08-08 19:33:54.993687
48,Intercampus (I),29913,29730,239,Chicago/Greenleaf,70556,2016-08-08 19:35:56.318006
48,Intercampus (I),29913,29730,240,Chicago/Main,70697,2016-08-08 19:38:17.729921
48,Intercampus (I),29727,29727,301,Sheridan/Loyola (northbound),70919,2016-08-08 19:41:59.585347
48,Intercampus (I),29913,29730,241,Sheridan/Loyola (southbound),71493,2016-08-08 19:51:33.749160
48,Intercampus (I),29727,29727,313,Chicago/Kedzie,71514,2016-08-08 19:51:54.436590
48,Intercampus (I),29727,29727,314,Chicago/Lee,71585,2016-08-08 19:53:05.678650
48,Intercampus (I),29727,29727,157,Chicago/Davis,71747,2016-08-08 19:55:47.259823
48,Intercampus (I),29727,29727,152,Weber Arch,71898,2016-08-08 19:58:18.765084
48,Intercampus (I),29727,29727,153,Jacobs Center,71959,2016-08-08 19:59:19.735851
48,Intercampus (I),29727,29727,154,Tech Institute,72020,2016-08-08 20:00:20.684450
48,Intercampus (I),29727,29727,155,Patten Gym,72081,2016-08-08 20:01:21.642562
48,Intercampus (I),29727,29727,282,Central L Station (westbound),72233,2016-08-08 20:03:53.171655
48,Intercampus (I),29727,29727,252,Central/Jackson (westbound),72304,2016-08-08 20:05:04.178380
48,Intercampus (I),29727,29727,253,Ryan Field,72485,2016-08-08 20:08:05.943037
48,Intercampus (I),29913,29730,242,Ward Building,72717,2016-08-08 20:11:57.999439
48,Intercampus (I),29727,29727,226,Central/Jackson (eastbound),73253,2016-08-08 20:20:53.260127
48,Intercampus (I),29727,29727,300,Central L Station (eastbound),73314,2016-08-08 20:21:54.256523
48,Intercampus (I),29727,29727,307,Noyes L Station,73475,2016-08-08 20:24:35.836435
48,Intercampus (I),29727,29727,306,Ridge/Civic Center,73526,2016-08-08 20:25:26.774427
48,Intercampus (I),29727,29727,305,Ridge/Reserve Apartments,73638,2016-08-08 20:27:18.052395
48,Intercampus (I),29727,29727,294,Emerson/Maple,73699,2016-08-08 20:28:19.036184
48,Intercampus (I),29727,29727,183,Sherman/Emerson,73860,2016-08-08 20:31:00.656440
48,Intercampus (I),29727,29727,309,Sherman/Foster,73911,2016-08-08 20:31:51.578056
48,Intercampus (I),29727,29727,316,Sherman/Gaffield,73962,2016-08-08 20:32:42.478822
48,Intercampus (I),29727,29727,161,Sheridan/Noyes,74043,2016-08-08 20:34:03.554231
48,Intercampus (I),29727,29727,160,Sheridan/Foster,74134,2016-08-08 20:35:34.745427
48,Intercampus (I),29727,29727,159,Chicago/Sheridan,74235,2016-08-08 20:37:15.995196
48,Intercampus (I),29913,29730,301,Sheridan/Loyola (northbound),74317,2016-08-08 20:38:37.181287
48,Intercampus (I),29727,29727,308,Chicago/Grove,74317,2016-08-08 20:38:37.790658
48,Intercampus (I),29727,29727,239,Chicago/Greenleaf,74489,2016-08-08 20:41:29.524737
48,Intercampus (I),29727,29727,240,Chicago/Main,74540,2016-08-08 20:42:20.454244
48,Intercampus (I),29913,29730,313,Chicago/Kedzie,75094,2016-08-08 20:51:34.676511
48,Intercampus (I),29727,29727,241,Sheridan/Loyola (southbound),75135,2016-08-08 20:52:15.566221
48,Intercampus (I),29913,29730,314,Chicago/Lee,75186,2016-08-08 20:53:06.458921
48,Intercampus (I),29913,29730,157,Chicago/Davis,75358,2016-08-08 20:55:58.166220
48,Intercampus (I),29913,29730,152,Weber Arch,75560,2016-08-08 20:59:20.217852
48,Intercampus (I),29913,29730,153,Jacobs Center,75631,2016-08-08 21:00:31.236528
48,Intercampus (I),29913,29730,154,Tech Institute,75682,2016-08-08 21:01:22.113765
48,Intercampus (I),29913,29730,155,Patten Gym,75753,2016-08-08 21:02:33.191775
48,Intercampus (I),29913,29730,282,Central L Station (westbound),75894,2016-08-08 21:04:54.624817
48,Intercampus (I),29913,29730,252,Central/Jackson (westbound),75965,2016-08-08 21:06:05.595338
48,Intercampus (I),29913,29730,253,Ryan Field,76066,2016-08-08 21:07:46.794847
48,Intercampus (I),29727,29727,242,Ward Building,76288,2016-08-08 21:11:28.782918
48,Intercampus (I),29913,29730,226,Central/Jackson (eastbound),77778,2016-08-08 21:36:18.559189
48,Intercampus (I),29913,29730,300,Central L Station (eastbound),77849,2016-08-08 21:37:29.572510
48,Intercampus (I),29913,29730,307,Noyes L Station,78061,2016-08-08 21:41:01.398153
48,Intercampus (I),29913,29730,306,Ridge/Civic Center,78152,2016-08-08 21:42:32.526691
48,Intercampus (I),29913,29730,305,Ridge/Reserve Apartments,78203,2016-08-08 21:43:23.370248
48,Intercampus (I),29913,29730,294,Emerson/Maple,78274,2016-08-08 21:44:34.420431
48,Intercampus (I),29913,29730,183,Sherman/Emerson,78365,2016-08-08 21:46:05.530295
48,Intercampus (I),29913,29730,309,Sherman/Foster,78396,2016-08-08 21:46:36.304152
48,Intercampus (I),29913,29730,316,Sherman/Gaffield,78437,2016-08-08 21:47:17.158269
48,Intercampus (I),29913,29730,161,Sheridan/Noyes,78518,2016-08-08 21:48:38.281114
48,Intercampus (I),29913,29730,160,Sheridan/Foster,78679,2016-08-08 21:51:19.873917
48,Intercampus (I),29913,29730,159,Chicago/Sheridan,78811,2016-08-08 21:53:31.263194
48,Intercampus (I),29913,29730,308,Chicago/Grove,78982,2016-08-08 21:56:22.844532
48,Intercampus (I),29727,29727,301,Sheridan/Loyola (northbound),79053,2016-08-08 21:57:33.872932
48,Intercampus (I),29913,29730,239,Chicago/Greenleaf,79104,2016-08-08 21:58:24.763342
48,Intercampus (I),29913,29730,240,Chicago/Main,79205,2016-08-08 22:00:05.932196
48,Intercampus (I),29727,29727,313,Chicago/Kedzie,79598,2016-08-08 22:06:38.949299
48,Intercampus (I),29727,29727,314,Chicago/Lee,79669,2016-08-08 22:07:49.992914
48,Intercampus (I),29727,29727,157,Chicago/Davis,79871,2016-08-08 22:11:11.821874
48,Intercampus (I),29913,29730,241,Sheridan/Loyola (southbound),79962,2016-08-08 22:12:42.989458
48,Intercampus (I),29727,29727,152,Weber Arch,79993,2016-08-08 22:13:13.730717
48,Intercampus (I),29727,29727,153,Jacobs Center,80034,2016-08-08 22:13:54.529154
48,Intercampus (I),29727,29727,154,Tech Institute,80145,2016-08-08 22:15:45.874982
48,Intercampus (I),29727,29727,155,Patten Gym,80196,2016-08-08 22:16:36.717252
48,Intercampus (I),29727,29727,282,Central L Station (westbound),80338,2016-08-08 22:18:58.168892
48,Intercampus (I),29727,29727,252,Central/Jackson (westbound),80378,2016-08-08 22:19:38.987651
48,Intercampus (I),29913,29730,301,Sheridan/Loyola (northbound),82498,2016-08-08 22:54:58.492496
48,Intercampus (I),29913,29730,313,Chicago/Kedzie,83001,2016-08-08 23:03:21.990749
48,Intercampus (I),29913,29730,314,Chicago/Lee,83103,2016-08-08 23:05:03.139626
48,Intercampus (I),29913,29730,157,Chicago/Davis,83275,2016-08-08 23:07:55.015763
48,Intercampus (I),29913,29730,152,Weber Arch,83477,2016-08-08 23:11:17.143943
48,Intercampus (I),29913,29730,153,Jacobs Center,83548,2016-08-08 23:12:28.263717
48,Intercampus (I),29913,29730,154,Tech Institute,83599,2016-08-08 23:13:19.122101
48,Intercampus (I),29913,29730,155,Patten Gym,83670,2016-08-08 23:14:30.149784
48,Intercampus (I),29913,29730,282,Central L Station (westbound),83811,2016-08-08 23:16:51.554278
48,Intercampus (I),29913,29730,252,Central/Jackson (westbound),83892,2016-08-08 23:18:12.549562
48,Intercampus (I),29913,29730,242,Ward Building,23780,2016-08-09 06:36:20.017464
48,Intercampus (I),29728,29728,226,Central/Jackson (eastbound),24002,2016-08-09 06:40:02.184722
48,Intercampus (I),29728,29728,300,Central L Station (eastbound),24103,2016-08-09 06:41:43.413053
48,Intercampus (I),29725,29725,242,Ward Building,24194,2016-08-09 06:43:14.597800
48,Intercampus (I),29732,29732,253,Ryan Field,24275,2016-08-09 06:44:35.715087
48,Intercampus (I),29728,29728,307,Noyes L Station,24306,2016-08-09 06:45:06.507694
48,Intercampus (I),29728,29728,306,Ridge/Civic Center,24387,2016-08-09 06:46:27.588107
48,Intercampus (I),29728,29728,305,Ridge/Reserve Apartments,24458,2016-08-09 06:47:38.627355
48,Intercampus (I),29728,29728,294,Emerson/Maple,24560,2016-08-09 06:49:20.002769
48,Intercampus (I),29728,29728,183,Sherman/Emerson,24741,2016-08-09 06:52:21.729725
48,Intercampus (I),29728,29728,309,Sherman/Foster,24772,2016-08-09 06:52:52.508082
48,Intercampus (I),29728,29728,316,Sherman/Gaffield,24833,2016-08-09 06:53:53.445225
48,Intercampus (I),29732,29732,226,Central/Jackson (eastbound),24854,2016-08-09 06:54:14.131990
48,Intercampus (I),29732,29732,300,Central L Station (eastbound),24925,2016-08-09 06:55:25.188358
48,Intercampus (I),29728,29728,161,Sheridan/Noyes,24955,2016-08-09 06:55:55.981549
48,Intercampus (I),29732,29732,307,Noyes L Station,25067,2016-08-09 06:57:47.261745
48,Intercampus (I),29728,29728,160,Sheridan/Foster,25118,2016-08-09 06:58:38.208431
48,Intercampus (I),29732,29732,306,Ridge/Civic Center,25118,2016-08-09 06:58:38.788140
48,Intercampus (I),29732,29732,305,Ridge/Reserve Apartments,25169,2016-08-09 06:59:29.657634
48,Intercampus (I),29728,29728,159,Chicago/Sheridan,25250,2016-08-09 07:00:50.698121
48,Intercampus (I),29732,29732,294,Emerson/Maple,25281,2016-08-09 07:01:21.494121
48,Intercampus (I),29728,29728,308,Chicago/Grove,25432,2016-08-09 07:03:52.977834
48,Intercampus (I),29732,29732,183,Sherman/Emerson,25443,2016-08-09 07:04:03.651819
48,Intercampus (I),29913,29730,301,Sheridan/Loyola (northbound),25444,2016-08-09 07:04:04.224981
48,Intercampus (I),29732,29732,309,Sherman/Foster,25505,2016-08-09 07:05:05.183065
48,Intercampus (I),29732,29732,316,Sherman/Gaffield,25545,2016-08-09 07:05:45.982972
48,Intercampus (I),29728,29728,239,Chicago/Greenleaf,25596,2016-08-09 07:06:36.952683
48,Intercampus (I),29732,29732,161,Sheridan/Noyes,25678,2016-08-09 07:07:58.300674
48,Intercampus (I),29728,29728,240,Chicago/Main,25769,2016-08-09 07:09:29.399770
48,Intercampus (I),29732,29732,160,Sheridan/Foster,25800,2016-08-09 07:10:00.130804
48,Intercampus (I),29732,29732,159,Chicago/Sheridan,25871,2016-08-09 07:11:11.421521
48,Intercampus (I),29732,29732,308,Chicago/Grove,25982,2016-08-09 07:13:02.703299
48,Intercampus (I),29913,29730,313,Chicago/Kedzie,26063,2016-08-09 07:14:23.763544
48,Intercampus (I),29732,29732,239,Chicago/Greenleaf,26175,2016-08-09 07:16:15.070115
48,Intercampus (I),29913,29730,314,Chicago/Lee,26246,2016-08-09 07:17:26.245682
48,Intercampus (I),29732,29732,240,Chicago/Main,26307,2016-08-09 07:18:27.164840
48,Intercampus (I),29913,29730,157,Chicago/Davis,26549,2016-08-09 07:22:29.235880
48,Intercampus (I),29728,29728,241,Sheridan/Loyola (southbound),26569,2016-08-09 07:22:49.912677
48,Intercampus (I),29913,29730,152,Weber Arch,26701,2016-08-09 07:25:01.344465
48,Intercampus (I),29726,29726,160,Sheridan/Foster,26712,2016-08-09 07:25:12.076906
48,Intercampus (I),29913,29730,153,Jacobs Center,26773,2016-08-09 07:26:13.038455
48,Intercampus (I),29726,29726,159,Chicago/Sheridan,26773,2016-08-09 07:26:13.612981
48,Intercampus (I),29913,29730,154,Tech Institute,26824,2016-08-09 07:27:04.497276
48,Intercampus (I),29913,29730,155,Patten Gym,26885,2016-08-09 07:28:05.481342
48,Intercampus (I),29726,29726,308,Chicago/Grove,26886,2016-08-09 07:28:06.064406
48,Intercampus (I),29732,29732,241,Sheridan/Loyola (southbound),26967,2016-08-09 07:29:27.130863
48,Intercampus (I),29913,29730,282,Central L Station (westbound),27048,2016-08-09 07:30:48.215197
48,Intercampus (I),29726,29726,239,Chicago/Greenleaf,27048,2016-08-09 07:30:48.819378
48,Intercampus (I),29913,29730,252,Central/Jackson (westbound),27119,2016-08-09 07:31:59.871296
48,Intercampus (I),29913,29730,253,Ryan Field,27190,2016-08-09 07:33:10.887887
48,Intercampus (I),29726,29726,240,Chicago/Main,27221,2016-08-09 07:33:41.681153
48,Intercampus (I),29913,29730,226,Central/Jackson (eastbound),27483,2016-08-09 07:38:03.996256
48,Intercampus (I),29913,29730,300,Central L Station (eastbound),27585,2016-08-09 07:39:45.261781
48,Intercampus (I),29913,29730,307,Noyes L Station,27736,2016-08-09 07:42:16.776648
48,Intercampus (I),29725,29725,301,Sheridan/Loyola (northbound),27737,2016-08-09 07:42:17.346518
48,Intercampus (I),29913,29730,306,Ridge/Civic Center,27818,2016-08-09 07:43:38.478350
48,Intercampus (I),29726,29726,241,Sheridan/Loyola (southbound),27879,2016-08-09 07:44:39.462331
48,Intercampus (I),29728,29728,242,Ward Building,27890,2016-08-09 07:44:50.071693
48,Intercampus (I),29913,29730,294,Emerson/Maple,27981,2016-08-09 07:46:21.159810
48,Intercampus (I),29913,29730,183,Sherman/Emerson,28142,2016-08-09 07:49:02.869188
48,Intercampus (I),29732,29732,242,Ward Building,28143,2016-08-09 07:49:03.479753
48,Intercampus (I),29913,29730,309,Sherman/Foster,28204,2016-08-09 07:50:04.477033
48,Intercampus (I),29913,29730,316,Sherman/Gaffield,28255,2016-08-09 07:50:55.402511
48,Intercampus (I),29913,29730,161,Sheridan/Noyes,28356,2016-08-09 07:52:36.671436
48,Intercampus (I),29913,29730,160,Sheridan/Foster,28457,2016-08-09 07:54:17.885153
48,Intercampus (I),29913,29730,159,Chicago/Sheridan,28569,2016-08-09 07:56:09.271008
48,Intercampus (I),29913,29730,308,Chicago/Grove,28680,2016-08-09 07:58:00.534217
48,Intercampus (I),29913,29730,239,Chicago/Greenleaf,28842,2016-08-09 08:00:42.114842
48,Intercampus (I),29725,29725,313,Chicago/Kedzie,28872,2016-08-09 08:01:12.865118
48,Intercampus (I),29913,29730,240,Chicago/Main,28923,2016-08-09 08:02:03.768907
48,Intercampus (I),29725,29725,314,Chicago/Lee,29014,2016-08-09 08:03:34.927818
48,Intercampus (I),29726,29726,242,Ward Building,29085,2016-08-09 08:04:45.960482
48,Intercampus (I),29725,29725,157,Chicago/Davis,29187,2016-08-09 08:06:27.197039
48,Intercampus (I),29725,29725,152,Weber Arch,29308,2016-08-09 08:08:28.562793
48,Intercampus (I),29725,29725,153,Jacobs Center,29379,2016-08-09 08:09:39.605634
48,Intercampus (I),29725,29725,154,Tech Institute,29430,2016-08-09 08:10:30.487104
48,Intercampus (I),29725,29725,155,Patten Gym,29531,2016-08-09 08:12:11.751533
48,Intercampus (I),29913,29730,241,Sheridan/Loyola (southbound),29643,2016-08-09 08:14:03.027534
48,Intercampus (I),29725,29725,282,Central L Station (westbound),29673,2016-08-09 08:14:33.806195
48,Intercampus (I),29725,29725,252,Central/Jackson (westbound),29714,2016-08-09 08:15:14.641054
48,Intercampus (I),29725,29725,253,Ryan Field,29795,2016-08-09 08:16:35.710721
48,Intercampus (I),29725,29725,226,Central/Jackson (eastbound),30218,2016-08-09 08:23:38.906620
48,Intercampus (I),29725,29725,300,Central L Station (eastbound),30289,2016-08-09 08:24:49.926880
48,Intercampus (I),29728,29728,301,Sheridan/Loyola (northbound),30381,2016-08-09 08:26:21.097733
48,Intercampus (I),29725,29725,307,Noyes L Station,30482,2016-08-09 08:28:02.421423
48,Intercampus (I),29725,29725,306,Ridge/Civic Center,30583,2016-08-09 08:29:43.593739
48,Intercampus (I),29725,29725,294,Emerson/Maple,30704,2016-08-09 08:31:44.871182
48,Intercampus (I),29725,29725,183,Sherman/Emerson,30846,2016-08-09 08:34:06.334706
48,Intercampus (I),29725,29725,309,Sherman/Foster,30897,2016-08-09 08:34:57.188761
48,Intercampus (I),29725,29725,316,Sherman/Gaffield,30948,2016-08-09 08:35:48.041877
48,Intercampus (I),29728,29728,313,Chicago/Kedzie,31039,2016-08-09 08:37:19.289895
48,Intercampus (I),29725,29725,161,Sheridan/Noyes,31080,2016-08-09 08:38:00.107570
48,Intercampus (I),29725,29725,160,Sheridan/Foster,31161,2016-08-09 08:39:21.240877
48,Intercampus (I),29913,29730,242,Ward Building,31171,2016-08-09 08:39:31.866640
48,Intercampus (I),29728,29728,314,Chicago/Lee,31192,2016-08-09 08:39:52.566852
48,Intercampus (I),29725,29725,159,Chicago/Sheridan,31273,2016-08-09 08:41:13.623933
48,Intercampus (I),29725,29725,308,Chicago/Grove,31394,2016-08-09 08:43:14.965894
48,Intercampus (I),29732,29732,301,Sheridan/Loyola (northbound),31405,2016-08-09 08:43:25.597336
48,Intercampus (I),29728,29728,157,Chicago/Davis,31446,2016-08-09 08:44:06.404584
48,Intercampus (I),29725,29725,239,Chicago/Greenleaf,31547,2016-08-09 08:45:47.609591
48,Intercampus (I),29728,29728,152,Weber Arch,31618,2016-08-09 08:46:58.757643
48,Intercampus (I),29728,29728,153,Jacobs Center,31679,2016-08-09 08:47:59.710332
48,Intercampus (I),29725,29725,240,Chicago/Main,31700,2016-08-09 08:48:20.543503
48,Intercampus (I),29728,29728,154,Tech Institute,31771,2016-08-09 08:49:31.583445
48,Intercampus (I),29728,29728,155,Patten Gym,31852,2016-08-09 08:50:52.628923
48,Intercampus (I),29728,29728,282,Central L Station (westbound),32004,2016-08-09 08:53:24.117591
48,Intercampus (I),29732,29732,313,Chicago/Kedzie,32055,2016-08-09 08:54:15.017438
48,Intercampus (I),29728,29728,252,Central/Jackson (westbound),32075,2016-08-09 08:54:35.755722
48,Intercampus (I),29726,29726,301,Sheridan/Loyola (northbound),32076,2016-08-09 08:54:36.321724
48,Intercampus (I),29728,29728,253,Ryan Field,32147,2016-08-09 08:55:47.372783
48,Intercampus (I),29732,29732,314,Chicago/Lee,32158,2016-08-09 08:55:58.041436
48,Intercampus (I),29732,29732,157,Chicago/Davis,32430,2016-08-09 09:00:30.344378
48,Intercampus (I),29725,29725,241,Sheridan/Loyola (southbound),32451,2016-08-09 09:00:51.043631
48,Intercampus (I),29732,29732,152,Weber Arch,32602,2016-08-09 09:03:22.575278
48,Intercampus (I),29732,29732,153,Jacobs Center,32673,2016-08-09 09:04:33.593440
48,Intercampus (I),29732,29732,154,Tech Institute,32734,2016-08-09 09:05:34.561525
48,Intercampus (I),29728,29728,226,Central/Jackson (eastbound),32745,2016-08-09 09:05:45.184589
